wgi_glacier_id, glacier_name, lat, lon, total_area, max_length, max_elev, min_elev, topo_year, primary_class, form, frontal_char, longi_profile, source_nourish, tongue_activity 
AF5Q112B0001, , 34.6720, 68.8740, 1.2800, 1.9000, 4250, 3975, 1959, 9, 3, 0, 0, 0, 0
AF5Q112B0002, , 34.6760, 68.8550, 0.3100, 0.8000, 4450, 4250, 1959, 9, 3, 0, 0, 0, 0
AF5Q112B0003, , 34.6890, 68.8540, 0.6000, 1.5000, 4200, 4000, 1959, 9, 3, 0, 0, 0, 0
AF5Q112B0004, , 34.7070, 68.8570, 0.5600, 1.5000, 4350, 4000, 1959, 9, 3, 0, 0, 0, 0
AF5Q112B0005, , 34.7190, 68.8520, 1.0600, 2.0000, 4350, 3750, 1959, 9, 2, 0, 0, 0, 0
AF5Q112B0006, , 34.8060, 68.8680, 0.7500, 2.0000, 4250, 3550, 1959, 9, 3, 0, 0, 0, 0
AF5Q112B0007, , 34.8180, 68.8720, 0.8400, 1.7000, 4150, 3700, 1959, 9, 3, 0, 0, 0, 0
AF5Q112B0008, , 34.8020, 68.8860, 2.0300, 3.3000, 4600, 3850, 1959, 9, 2, 0, 0, 0, 0
AF5Q112B0009, , 34.8070, 68.8910, 0.5300, 1.5000, 4050, 3800, 1959, 9, 3, 0, 0, 0, 0
AF5Q112B0010, , 35.1750, 68.7570, 0.8800, 2.2000, 4250, 3825, 1959, 9, 2, 0, 0, 0, 0
AF5Q112B0011, , 35.2040, 68.7830, 0.7200, 1.3000, 4450, 4200, 1959, 9, 3, 0, 0, 0, 0
AF5Q112B0012, , 35.2180, 68.8050, 0.2500, 1.2000, 4350, 3900, 1959, 9, 3, 0, 0, 0, 0
AF5Q112B0013, , 35.2070, 68.8170, 0.2800, , 4150, 3800, 1959, 9, 3, 0, 0, 0, 0
AF5Q112B0014, , 35.2020, 68.8080, 1.4400, 2.0000, 4300, 3875, 1959, 9, 2, 0, 0, 0, 0
AF5Q112B0015, , 35.1930, 68.8410, 0.4100, , 4150, 3850, 1959, 9, 3, 0, 0, 0, 0
AF5Q112B0016, , 35.2430, 68.8410, 0.5900, 1.8000, 4350, 3950, 1959, 9, 2, 0, 0, 0, 0
AF5Q112B0017, , 35.2410, 68.8590, 0.4000, 1.2000, 4175, 3825, 1959, 9, 3, 0, 0, 0, 0
AF5Q112B0018, , 35.2680, 68.9240, 1.2200, 2.5000, 4200, 3675, 1959, 9, 2, 0, 0, 0, 0
AF5Q112B0019, , 35.2400, 68.9900, 0.3100, 1.1000, 4250, 4025, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0001, , 35.3880, 69.2580, 0.1900, 0.7000, 4750, 4475, 1959, 6, 5, 0, 0, 0, 0
AF5Q112C0002, , 35.3860, 69.2570, 0.3400, , 4600, 4175, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0003, , 35.3670, 69.2670, 0.4100, 1.3000, 4400, 3950, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0004, , 35.3570, 69.2560, 0.4400, 1.1000, 4250, 3925, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0005, , 35.3500, 69.2870, 0.3400, 1.5000, 4500, 3925, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0006, , 35.3530, 69.3000, 0.6600, 1.9000, 4500, 4250, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0007, , 35.3560, 69.3000, 0.3800, 1.6000, 4400, 4075, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0008, , 35.3620, 69.2940, 0.7800, 2.3000, 4500, 4250, 1959, 6, 4, 0, 0, 0, 0
AF5Q112C0009, , 35.3830, 69.2670, 0.0900, 0.3000, 4500, 4325, 1959, 7, 4, 0, 0, 0, 0
AF5Q112C0010, , 35.3830, 69.2740, 0.2200, 0.9000, 4350, 4200, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0011, TED, 35.4080, 69.2710, 0.0800, 0.5000, 4700, 4550, 1959, 7, 4, 0, 0, 0, 0
AF5Q112C0012, , 35.3570, 69.3720, 0.4700, 2.0000, 4500, 3975, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0013, , 35.3420, 69.3570, 0.7500, 1.6000, 4300, 3900, 1959, 9, 2, 0, 0, 0, 0
AF5Q112C0014, , 35.3680, 69.4020, 1.0000, 2.6000, 4500, 3875, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0015, , 35.3740, 69.4010, 0.5600, 1.3000, 4525, 3975, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0016, , 35.3680, 69.3880, 0.4700, 1.9000, 4500, 4275, 1959, 9, 4, 0, 0, 0, 0
AF5Q112C0017, , 35.3670, 69.3750, 0.3800, 0.8000, 4650, 4350, 1959, 9, 4, 0, 0, 0, 0
AF5Q112C0018, , 35.3850, 69.3570, 0.9100, 2.5000, 4575, 4225, 1959, 9, 4, 0, 0, 0, 0
AF5Q112C0019, , 35.4210, 69.4330, 0.2300, 0.8000, 4450, 4250, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0020, , 35.4080, 69.4720, 0.4100, 1.2000, 4350, 4100, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0021, , 35.4080, 69.4840, 0.5400, 1.6000, 4375, 4000, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0022, , 35.4050, 69.4880, 0.3400, 1.2000, 4175, 3925, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0023, , 35.4030, 69.4920, 0.2500, 1.1000, 4350, 4100, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0024, , 35.4520, 69.5420, 2.0900, 3.4000, 4850, 3875, 1959, 9, 2, 0, 0, 0, 0
AF5Q112C0025, , 35.4380, 69.5520, 0.3400, 1.0000, 4750, 4325, 1959, 9, 5, 0, 0, 0, 0
AF5Q112C0026, , 35.4410, 69.5680, 2.5600, 3.7000, 4700, 3825, 1959, 9, 2, 0, 0, 0, 0
AF5Q112C0027, , 35.4560, 69.5860, 0.4100, 1.6000, 4425, 4000, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0028, , 35.4690, 69.5910, 0.4500, 0.9000, 4800, 4550, 1959, 6, 4, 0, 0, 0, 0
AF5Q112C0029, , 35.4580, 69.5910, 0.3000, 1.0000, 4500, 4300, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0030, , 35.4520, 69.6070, 0.2200, 0.8000, 4475, 4175, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0031, , 35.4580, 69.6220, 0.1600, 2.3000, 4750, 4100, 1959, 9, 2, 0, 0, 0, 0
AF5Q112C0032, , 35.4720, 69.6180, 1.9600, 2.6000, 4700, 4375, 1959, 9, 2, 0, 0, 0, 0
AF5Q112C0033, , 35.4830, 69.6070, 0.1400, 0.4000, 5000, 4725, 1959, 6, 5, 0, 0, 0, 0
AF5Q112C0034, , 35.4870, 69.6190, 1.4700, 3.3000, 4725, 3925, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0035, , 35.4900, 69.6330, 0.2000, 0.7000, 4600, 4525, 1959, 9, 4, 0, 0, 0, 0
AF5Q112C0036, , 35.4910, 69.6370, 0.4400, 1.4000, 4750, 4375, 1959, 9, 4, 0, 0, 0, 0
AF5Q112C0037, , 35.4880, 69.6520, 0.5300, 1.1000, 4425, 4075, 1959, 9, 2, 0, 0, 0, 0
AF5Q112C0038, , 35.4880, 69.6720, 0.6600, 1.6000, 4450, 4050, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0039, , 35.4860, 69.6850, 0.3900, 1.4000, 4500, 4125, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0040, , 35.4910, 69.6830, 0.5600, 1.3000, 4500, 4225, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0041, , 35.5020, 69.6740, 0.5600, 1.6000, 4500, 4200, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0042, , 35.5190, 69.6880, 0.1600, 0.7000, 4375, 4175, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0043, , 35.5400, 69.7550, 0.4700, 1.5000, 4650, 4125, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0044, , 35.5400, 69.7690, 0.5800, 1.4000, 4450, 4075, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0045, , 35.5550, 69.7850, 0.8100, 1.9000, 4650, 4150, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0046, , 35.5570, 69.7850, 0.7800, 1.7000, 4600, 4150, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0047, , 35.5670, 69.7690, 2.2800, 3.5000, 4800, 4175, 1959, 5, 3, 0, 0, 0, 0
AF5Q112C0048, , 35.7000, 69.8550, 1.9700, 3.9000, 4550, 3725, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0049, , 35.7230, 69.8880, 0.3800, 0.7000, 4750, 4475, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0050, , 35.7250, 69.9380, 0.2500, 0.6000, 4575, 4400, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0051, , 35.7370, 69.9200, 0.6300, 1.3000, 4775, 4300, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0052, , 35.7430, 69.9070, 0.4700, 1.2000, 4900, 4500, 1959, 9, 2, 0, 0, 0, 0
AF5Q112C0053, , 35.7520, 69.9080, 0.0600, 0.6000, 4950, 4750, 1959, 6, 5, 0, 0, 0, 0
AF5Q112C0054, , 35.7530, 69.9230, 0.1600, 0.8000, 4650, 4375, 1959, 6, 2, 0, 0, 0, 0
AF5Q112C0055, , 35.7570, 69.9050, 0.8400, 2.1000, 4775, 4375, 1959, 9, 2, 0, 0, 0, 0
AF5Q112C0056, , 35.7730, 69.9170, 0.1400, 0.7000, 4750, 4550, 1959, 6, 3, 0, 0, 0, 0
AF5Q112C0057, , 35.7720, 69.9510, 0.0600, 0.5000, 4775, 4475, 1959, 6, 5, 0, 0, 0, 0
AF5Q112C0058, , 35.7830, 69.9510, 0.4100, 1.1000, 4725, 4475, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0059, , 35.7880, 69.9550, 0.1300, 0.5000, 4800, 4525, 1959, 6, 3, 0, 0, 0, 0
AF5Q112C0060, , 35.7740, 69.9900, 0.4400, 0.9000, 4750, 4475, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0061, , 35.7700, 69.9900, 0.0600, 0.4000, 4825, 4600, 1959, 7, 5, 0, 0, 0, 0
AF5Q112C0062, , 35.7570, 69.9870, 0.4700, 1.1000, 4800, 4450, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0063, , 35.7430, 69.9860, 0.3100, 1.2000, 4500, 4000, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0064, , 35.7500, 70.0000, 0.7200, 1.5000, 4850, 4450, 1959, 9, 2, 0, 0, 0, 0
AF5Q112C0065, , 35.7530, 69.9920, 0.1700, 0.6000, 4900, 4625, 1959, 6, 3, 0, 0, 0, 0
AF5Q112C0066, , 35.7670, 70.0000, 0.1600, 0.6000, 4950, 4725, 1959, 6, 4, 0, 0, 0, 0
AF5Q112C0067, , 35.7740, 70.0080, 0.5000, 0.9000, 4750, 4500, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0068, , 35.7690, 70.0200, 0.4100, 1.4000, 4860, 4300, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0069, , 35.7580, 70.0240, 0.5800, 1.4000, 4550, 4150, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0070, , 35.7860, 70.0520, 0.2800, 0.8000, 4800, 4500, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0071, , 35.8050, 70.0400, 0.2000, 1.0000, 4700, 4550, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0072, , 35.8080, 70.0900, 0.2100, 0.7000, 4675, 4450, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0073, , 35.7680, 70.1180, 0.3900, 0.9000, 4930, 4525, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0074, , 35.7670, 70.1250, 0.1900, 0.4000, 4650, 4550, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0075, , 35.8050, 70.1000, 0.2800, 0.7000, 4850, 4625, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0076, , 35.8170, 70.1420, 0.3400, 1.3000, 4750, 4350, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0077, , 35.8410, 70.1380, 0.1900, 0.7000, 4850, 4725, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0078, , 35.7670, 70.2000, 0.4400, 0.7000, 4800, 4550, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0079, , 35.8240, 70.1850, 0.7800, 1.2000, 5000, 4600, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0080, , 35.8380, 70.1860, 0.3400, 1.1000, 4925, 4550, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0081, , 35.8390, 70.1750, 0.3800, 0.9000, 5200, 4725, 1959, 6, 3, 0, 0, 0, 0
AF5Q112C0082, , 35.8590, 70.2000, 0.3400, 0.9000, 4750, 4550, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0083, , 35.8530, 70.1900, 0.4400, 1.2000, 5025, 4500, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0084, , 35.8570, 70.1840, 0.8100, 1.7000, 5100, 4450, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0085, , 35.8690, 70.2240, 0.5900, 1.9000, 5050, 4350, 1959, 9, 2, 0, 0, 0, 0
AF5Q112C0086, , 35.8570, 70.2370, 0.6300, 1.0000, 4850, 4550, 1959, 9, 2, 0, 0, 0, 0
AF5Q112C0087, , 35.8550, 70.2500, 0.3100, 1.1000, 4800, 4475, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0088, , 35.8510, 70.2840, 0.4900, 2.7000, 4925, 4550, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0089, , 35.8380, 70.2720, 1.1300, 1.8000, 4750, 4250, 1959, 9, 2, 0, 0, 0, 0
AF5Q112C0090, , 35.8250, 70.2550, 0.3300, 1.4000, 4500, 4200, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0091, , 35.8200, 70.2550, 0.4400, 1.6000, 4600, 4150, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0092, , 35.8090, 70.2190, 0.2900, 0.9000, 4500, 4250, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0093, , 35.7910, 70.2590, 1.1100, 2.1000, 4700, 4250, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0094, , 35.7700, 70.2500, 0.2500, 1.1000, 4550, 4250, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0095, , 35.7550, 70.2690, 2.5900, 4.6000, 5050, 4140, 1959, 9, 2, 0, 0, 0, 0
AF5Q112C0096, , 35.7510, 70.2550, 0.7500, 2.5000, 5100, 4425, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0097, , 35.7430, 70.2400, 0.2800, 1.2000, 4700, 4375, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0098, , 35.7380, 70.2570, 0.0800, 0.5000, 4950, 4775, 1959, 6, 3, 0, 0, 0, 0
AF5Q112C0099, , 35.7370, 70.2380, 2.0300, 4.2000, 4900, 4275, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0100, , 35.7240, 70.2500, 0.7500, 1.7000, 5025, 4650, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0101, , 35.7190, 70.2500, 1.5300, 3.6000, 5200, 4525, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0102, , 35.7240, 70.2190, 0.7200, 2.6000, 4450, 3950, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0103, , 35.7030, 70.2500, 0.5300, 1.8000, 5000, 4525, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0104, , 35.7070, 70.2230, 0.3400, 1.4000, 4500, 4000, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0105, , 35.6930, 70.2370, 0.7200, 2.5000, 4750, 4100, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0106, , 35.6690, 70.2520, 3.5900, 3.9000, 5000, 4275, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0107, , 35.6720, 70.2010, 0.2800, 0.9000, 4750, 4475, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0108, , 35.6850, 70.1860, 0.6300, 1.4000, 4800, 4375, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0109, , 35.6880, 70.1680, 0.9700, 2.9000, 4650, 3750, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0110, , 35.6670, 70.1760, 0.4100, 1.3000, 4500, 3700, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0111, , 35.6570, 70.2180, 0.9600, 2.4000, 5000, 4250, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0112, , 35.5740, 70.2170, 0.2000, 0.8000, 4600, 4425, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0113, , 35.5720, 70.2050, 0.2200, 0.4000, 4450, 4350, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0114, , 35.5830, 70.1830, 2.7200, 3.4000, 5250, 4250, 1959, 9, 2, 0, 0, 0, 0
AF5Q112C0115, , 35.5880, 70.1740, 0.5900, 1.7000, 5000, 4450, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0116, , 35.6000, 70.1740, 1.9700, 2.8000, 5000, 3975, 1959, 9, 3, 0, 0, 0, 0
AF5Q112C0117, , 35.6090, 70.1580, 0.1900, 0.7000, 5125, 4925, 1959, 6, 3, 0, 0, 0, 0
AF5Q112C0118, , 35.6180, 70.1680, 0.5000, 1.6000, 5250, 4675, 1959, 9, 3, 0, 0, 0, 0
